order	pop	samp	phot	cp	mt	nt	comment	sample_C13	C13	C13_con	str
290	ZAM17-14	ZAM17-14-03	C4	E	fg	IIIb	NA	ZAM17-14-03	-11.57	C4	d120
291	ZAM17-14	ZAM17-14-04	C4	E	fg	IIIb	NA	ZAM17-14-04	-11.65	C4	d121
292	ZAM17-14	ZAM17-14-05	C4	E	fg	IIIb	NA	ZAM17-14-05	-12.27	C4	d122
293	ZAM17-15	ZAM17-15-01	C4	E	fg	IIIb	NA	ZAM17-15-01	-12.13	C4	d123
294	ZAM17-15	ZAM17-15-02	C4	E	fg	IIIb	NA	ZAM17-15-02	-13.75	C4	d124
295	ZAM17-15	ZAM17-15-03	Int	BC	bc	II	NA	ZAM17-15-03	-19.42	Non-C4	b044
296	ZAM17-16	ZAM17-16-05	Int	BC	bc	II	NA	ZAM17-16-05	-22.63	Non-C4	b046
297	ZAM17-16	ZAM17-16-10	Int	BC	bc	II	NA	ZAM17-16-10	-19.57	Non-C4	b047
298	ZAM17-16	ZAM17-16-15	Int	BC	bc	II	NA	ZAM17-16-15	-23.34	Non-C4	b048
299	ZAM17-16	ZAM17-16-20	Int	BC	bc	II	NA	ZAM17-16-20	-21.2	Non-C4	b049
300	ZAM17-16	ZAM17-16-25	Int	BC	bc	II	NA	ZAM17-16-25	-22.23	Non-C4	b050
301	ZAM17-16	ZAM17-16-30	Int	BC	bc	II	NA	ZAM17-16-30	-24.53	Non-C4	b051
302	ZAM17-16	ZAM17-16-35	Int	BC	bc	II	NA	ZAM17-16-35	-22.84	Non-C4	b052
303	ZAM17-17	ZAM17-17-01	C4	E	fg	IIIb	NA	ZAM17-17-01	-13.11	C4	d126
304	ZAM17-17	ZAM17-17-02	C4	E	fg	IIIb	NA	ZAM17-17-02	-12.81	C4	d127
305	ZAM17-17	ZAM17-17-03	C4	E	fg	IIIb	NA	ZAM17-17-03	-12.68	C4	d128
